id,cash,cratio,int_coverage,crating
1,.0337102,2.197026,6.400783,"BB"
2,.0068479,2.651447,26.94545,"BB+"
3,.197146,.7788155,1.583232,"B-"
4,.2017014,.7601032,2.166163,"D"
5,.1845286,.9015259,7.196721,"B"
6,.1435299,.7339213,9.5397,"B+"
7,.1364629,.744233,7.560811,"BB-"
8,.0089129,.7109975,4.662409,"BBB-"
9,.0019584,.9281837,5.852737,"BBB"
10,.0007052,.6447428,6.251144,"BBB+"
11,.0005312,.6243398,6.113959,"A-"
12,.1231695,1.292838,19.27755,"AA"
13,.1885317,2.024508,25.24713,"A+"
14,.1260328,2.26066,7.736494,"BBB"
15,.3603948,2.146953,4.065327,"B-"
16,.3562778,1.82018,4.116667,"B+"
17,.2529398,1.782447,1.367232,"B"
18,.3806083,1.879643,-.3782051,"CCC+"
19,.2802791,2.20172,17.32322,"B+"
20,.1937136,2.651018,8.808644,"BB-"
21,.2111611,4.580905,48.16547,"BB"
22,.2152794,5.821062,103.7322,"BB+"
23,.1055157,.8005357,12.96347,"A-"
24,.1013063,.8228208,14.94554,"A"
25,.0277138,1.351901,16.93392,"A"
26,.0144827,.7636223,9.531093,"BBB"
27,.0039309,.5484352,8.4,"BBB-"
28,.00474,.4078705,9.820144,"A-"
29,.0095587,1.650362,6.914191,"A"
30,.0186534,.951001,7.84106,"A-"
31,.2408404,1.166561,6.604802,"B"
32,.219615,1.056903,8.415808,"B+"
33,.2274296,1.157228,12.4375,"BB-"
34,.1968937,1.050868,25.54167,"BB+"
35,.2032757,.9208195,39.28571,"BBB-"
36,.1607741,2.837106,68.69428,"BBB"
37,.0056112,.7478753,8.307693,"BBB+"
38,.0444774,1.916298,3.878102,"BBB-"
39,.0700428,1.28113,11.74876,"A"
40,.0194672,1.562009,1.993762,"B-"
41,.0392691,1.311879,4.694445,"BBB-"
42,.0454289,1.15329,16.4918,"BBB-"
43,.0089687,1.029506,16.42424,"BBB"
44,.2377542,1.024296,3.102102,"B-"
45,.2201855,.6013911,1.749625,"B-"
46,.2034044,.5882698,2.112593,"D"
47,.1797125,.6299479,6.447934,"B"
48,.1372153,.8864469,10.39976,"B+"
49,.1201887,1.247513,8.189275,"BB-"
50,.0682193,2.061322,4.932647,"BBB-"
51,.0001625,1.236958,11.19382,"BBB+"
52,.0249724,1.794612,10.6839,"BB"
53,.0140719,.7695612,4.369772,"BBB"
54,.0088724,.5141997,5.752861,"BBB+"
55,.1394979,2.089568,8.777226,"BB"
56,.0854734,2.100947,8.898072,"BB+"
57,.0869832,2.39529,2.1692,"B+"
58,.1142862,2.361489,2.834902,"B"
59,.1265175,2.566424,4.177529,"B-"
60,.0442149,1.769041,8.220343,"BBB"
61,.0571691,1.579845,11.85234,"BBB+"
62,.4006347,3.520396,10.37363,"A+"
63,.3916301,4.953339,8.224059,"A"
64,.6208993,5.406647,99.47914,"BBB+"
65,.6806954,8.354869,62.30367,"A-"
66,.0495636,1.472963,8.694109,"BBB"
67,.0687919,1.212845,4.919956,"BBB+"
68,.0417815,1.713291,6.4093,"BBB"
69,.0360573,1.406243,3.219744,"BBB-"
70,.0030858,.9875142,24.59392,"A-"
71,.0611484,1.758546,5.199152,"BBB+"
72,.076088,1.452808,7.133047,"BBB"
73,.0000951,.7010973,3.535684,"BBB"
74,.0035796,.5659136,5.623853,"BBB+"
75,.1958744,1.678638,409.9706,"AA+"
76,.2361784,2.342661,89.93109,"A-"
77,.0248023,1.33054,6.009008,"BB"
78,.0490655,2.439831,10.05544,"BB+"
79,.1197223,2.115246,6.643863,"A"
80,.0081637,.7852609,4.955066,"BBB-"
81,.0002642,.8637659,6.037583,"BBB"
82,.0002784,.5976081,6.515292,"BBB+"
83,.0003176,.5873659,6.361757,"A-"
84,.0160729,1.556192,6.483668,"BBB"
85,.0009832,.8268325,5.13708,"BBB+"
86,.0964864,1.631462,10.08652,"BBB-"
