date,year,month,vw_ret,ew_ret,sp500_ret,sp500index,time,date2
Jan 1926,1926,1,.00056104,.02317378,.02247191,12.74,1,-12389
Feb 1926,1926,2,-.03304553,-.05351035,-.04395605,12.18,2,-12361
Mar 1926,1926,3,-.06400222,-.09682397,-.0591133,11.46,3,-12329
Apr 1926,1926,4,.03702872,.03297504,.02268761,11.72,4,-12299
May 1926,1926,5,.01209523,.00103517,.00767918,11.81,5,-12271
Jun 1926,1926,6,.05366369,.05048731,.04318374,12.32,6,-12238
Jul 1926,1926,7,.0314107,.0130506,.04545455,12.88,7,-12207
Aug 1926,1926,8,.02864728,.03100235,.01708074,13.1,8,-12176
Sep 1926,1926,9,.00578737,-.00649892,.02290076,13.4,9,-12146
Oct 1926,1926,10,-.02899619,-.03462975,-.03134328,12.98,10,-12116
Nov 1926,1926,11,.02855394,.02477618,.02234207,13.27,11,-12085
Dec 1926,1926,12,.029211,.0255156,.01657875,13.49,12,-12054
Jan 1927,1927,1,.00241623,.01255591,-.02075612,13.21,13,-12023
Feb 1927,1927,2,.0453701,.05574803,.04769114,13.84,14,-11995
Mar 1927,1927,3,.00375628,-.01928987,.00650289,13.93,15,-11964
Apr 1927,1927,4,.00722505,.00749361,.017229,14.17,16,-11934
May 1927,1927,5,.05777311,.06269069,.05222301,14.91,17,-11903
Jun 1927,1927,6,-.02108671,-.01970762,-.00938967,14.77,18,-11873
Jul 1927,1927,7,.07527909,.05808011,.06499662,15.73,19,-11843
Aug 1927,1927,8,.02249037,.00424693,.04450095,16.43,20,-11811
Sep 1927,1927,9,.04992352,.03230819,.04321363,17.14,21,-11781
Oct 1927,1927,10,-.0407699,-.0385285,-.05309218,16.23,22,-11750
Nov 1927,1927,11,.06845258,.09775829,.06777573,17.33,23,-11720
Dec 1927,1927,12,.02378212,.02967718,.01904212,17.66,24,-11689
Jan 1928,1928,1,-.00333972,.03244115,-.00509626,17.57,25,-11658
Feb 1928,1928,2,-.01447756,-.02250801,-.01764371,17.26,26,-11629
Mar 1928,1928,3,.09047843,.07158329,.108343,19.13,27,-11598
Apr 1928,1928,4,.04384581,.08746559,.03240983,19.75,28,-11568
May 1928,1928,5,.01769032,.03759075,.01265823,20,29,-11537
Jun 1928,1928,6,-.04524517,-.06907351,-.0405,19.19,30,-11507
Jul 1928,1928,7,.0093998,.0030467,.01250651,19.43,31,-11476
Aug 1928,1928,8,.07020616,.05839567,.0741122,20.87,32,-11445
Sep 1928,1928,9,.03149783,.04924411,.02395783,21.37,33,-11416
Oct 1928,1928,10,.01922795,.01746921,.01450632,21.68,34,-11384
Nov 1928,1928,11,.1214999,.1152025,.1199262,24.28,35,-11354
Dec 1928,1928,12,.00555718,-.00555171,.00288303,24.35,36,-11323
Jan 1929,1929,1,.05393473,.0335256,.05708419,25.74,37,-11292
Feb 1929,1929,2,-.00044614,.00648653,-.00582751,25.59,38,-11264
Mar 1929,1929,3,-.00780839,-.03210543,-.00234467,25.53,39,-11236
Apr 1929,1929,4,.01717913,.01402353,.01605954,25.94,40,-11203
May 1929,1929,5,-.05992296,-.09104576,-.04279106,24.83,41,-11172
Jun 1929,1929,6,.1015726,.07342805,.1123641,27.62,42,-11143
Jul 1929,1929,7,.04595761,.01856137,.04561912,28.88,43,-11111
Aug 1929,1929,8,.08534303,.02836806,.09799169,31.71,44,-11081
Sep 1929,1929,9,-.05045466,-.04373016,-.04888048,30.16,45,-11050
Oct 1929,1929,10,-.1966836,-.2121448,-.1992706,24.15,46,-11019
Nov 1929,1929,11,-.1238121,-.1225332,-.1337474,20.92,47,-10992
Dec 1929,1929,12,.01639001,-.02559807,.02533461,21.45,48,-10958
Jan 1930,1930,1,.05840661,.1098263,.06247086,22.79,49,-10927
Feb 1930,1930,2,.02824166,.03359858,.02150066,23.28,50,-10899
Mar 1930,1930,3,.07463142,.1037543,.0798969,25.14,51,-10868
Apr 1930,1930,4,-.0205411,-.04159979,-.00954654,24.9,52,-10838
May 1930,1930,5,-.01401008,-.03722677,-.01646586,24.49,53,-10809
Jun 1930,1930,6,-.1599798,-.188159,-.164557,20.46,54,-10777
Jul 1930,1930,7,.04196365,.03763061,.03665689,21.21,55,-10746
Aug 1930,1930,8,.0036629,-.01731935,.00754361,21.37,56,-10717
Sep 1930,1930,9,-.1248049,-.1504754,-.1300889,18.59,57,-10685
Oct 1930,1930,10,-.08657879,-.09605711,-.0887574,16.94,58,-10654
Nov 1930,1930,11,-.02805652,-.02412809,-.02184179,16.57,59,-10625
Dec 1930,1930,12,-.07773924,-.1368458,-.07423054,15.34,60,-10593
Jan 1931,1931,1,.06378046,.1410915,.04889179,16.09,61,-10562
Feb 1931,1931,2,.1096945,.1567526,.1143567,17.93,62,-10534
Mar 1931,1931,3,-.06286591,-.06187143,-.06915784,16.69,63,-10503
Apr 1931,1931,4,-.100219,-.1508703,-.09586579,15.09,64,-10473
May 1931,1931,5,-.1338355,-.1403792,-.1371769,13.02,65,-10444
