iperm,date_announce
1197,24 May 1990
1321,2 Oct 1991
1321,21 Dec 1992
1321,21 Feb 1995
1321,5 Jan 1999
1321,5 Jan 1999
1321,13 Sep 2000
1321,26 Sep 2000
1321,22 Nov 2002
1321,9 Sep 2004
3343,8 Feb 1993
3528,20 Dec 1993
10002,28 May 2003
10003,7 Jun 1988
10009,30 May 1989
10009,28 Oct 1999
10010,29 Jun 1987
10010,4 May 1990
10010,19 Jul 1990
10010,27 Mar 1991
10010,13 Mar 1992
10010,23 Dec 1992
10011,2 Jul 1991
10011,12 Jul 1991
10011,28 Feb 1992
10011,24 Mar 1993
10011,3 Oct 1994
10011,9 Jan 1995
10011,19 Jan 1995
10011,19 Jan 1995
10011,13 Nov 1995
10011,5 Mar 1996
10011,28 May 1996
10011,20 Aug 1997
10012,8 Mar 2005
10015,21 Dec 1983
10015,4 Dec 1984
10015,30 Apr 1985
10016,9 Dec 1999
10017,18 Feb 1988
10018,8 Sep 1989
10018,25 May 1990
10018,7 Jun 1990
10018,30 Sep 1992
10018,17 Nov 1994
10019,1 Mar 1989
10019,26 Oct 1990
10019,24 Oct 1991
10019,21 Mar 1995
10020,6 Apr 1987
10020,21 Oct 1987
10020,11 Dec 1987
10020,6 Oct 1988
10020,3 Jul 1989
10020,31 Aug 1989
10020,26 Feb 1990
10020,26 Feb 1990
10020,17 Apr 1990
10020,24 Apr 1990
10020,16 Dec 1991
10020,29 Jan 1992
10021,13 Sep 1994
10025,16 Jan 1989
10025,2 Oct 1990
10025,23 Feb 1993
10025,3 Aug 1995
10025,3 Aug 1995
10025,15 Mar 1996
10025,20 Jun 1996
10026,27 Oct 1987
10026,23 Mar 1988
10026,24 Jul 1989
10026,27 Feb 1990
10026,27 Apr 1990
10026,27 Apr 1990
10026,10 Dec 1991
10026,6 Jan 1992
10026,18 Jun 1992
10026,7 Oct 1992
10026,21 Sep 1993
10026,11 May 1994
10026,25 May 1994
10026,22 Nov 1995
10026,17 Apr 1996
10026,21 May 1996
10026,3 Oct 1996
10026,27 Jan 1997
10026,30 Oct 1997
10026,4 Feb 1999
10026,20 Dec 1999
10026,21 Nov 2000
10026,14 Apr 2003
10026,14 Apr 2003
10026,22 Dec 2003
10026,18 Mar 2005
10029,22 Sep 1986
10029,27 Oct 1986
10029,11 Nov 1987
10029,9 Jun 1989
10029,21 Jun 1989
10029,21 Jun 1989
10032,17 Nov 1997
10032,17 Nov 1997
10032,19 Dec 1997
10032,16 Mar 1999
10032,3 Sep 1999
10032,6 Mar 2000
10032,2 Oct 2000
10032,2 May 2001
10032,28 Nov 2001
10035,29 Jan 1996
10035,3 Sep 1997
10036,8 Dec 1993
10036,31 May 1996
10036,25 Jul 2002
10042,17 Feb 1987
10042,2 Oct 1989
10042,5 Jun 1991
10042,24 Mar 1997
10042,25 Sep 1997
10042,31 Aug 2004
10042,26 Jan 2005
10042,26 Sep 2005
10043,27 Feb 1989
10043,5 Jun 1989
10043,10 Oct 1990
10043,15 Apr 1992
10043,25 Mar 1996
10043,29 Jul 1996
10043,30 May 1997
10043,10 Sep 1997
10043,18 Nov 1997
10043,9 Apr 1998
10044,18 Jan 1996
10044,21 Mar 2000
10044,5 Oct 2005
10048,29 Jul 1986
10048,18 Nov 1986
10048,12 Jan 1987
10048,29 Mar 1988
10048,6 May 1988
10048,6 May 1988
10048,5 Jul 1988
10048,5 Jul 1988
10048,31 Aug 1988
